rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
766,88489e31c7fffff,0.5814,207.8,16.4,vacant,49185,0,30.2133,-97.5840,Tier 2 — Top 25%
767,8848985207fffff,0.5813,208.1,30.5,NaN,0,0,30.4952,-97.9193,Tier 2 — Top 25%
768,88489e3681fffff,0.5812,208.2,9.2,residential,181842,9,30.2740,-97.8383,Tier 2 — Top 25%
769,88489e25abfffff,0.5812,207.7,26.6,NaN,0,0,30.5031,-97.6943,Tier 2 — Top 25%
770,8848985069fffff,0.5811,208.0,30.8,NaN,0,0,30.5200,-97.8747,Tier 2 — Top 25%
771,88489e2661fffff,0.5811,208.0,11.4,multifamily,278359,20,30.3698,-97.7523,Tier 2 — Top 25%
772,88489e215dfffff,0.5811,207.7,20.5,residential,48985,9,30.3229,-97.5397,Tier 2 — Top 25%
773,88489e2e3bfffff,0.5811,207.6,25.9,NaN,0,0,30.4675,-97.6050,Tier 2 — Top 25%
774,88489e3685fffff,0.5810,208.2,8.2,residential,231901,9,30.2744,-97.8280,Tier 2 — Top 25%
775,884898cb1dfffff,0.5810,208.2,16.2,open_space,49195,0,30.3339,-97.8933,Tier 2 — Top 25%
776,88489e211bfffff,0.5808,207.7,20.7,NaN,0,0,30.3534,-97.5518,Tier 2 — Top 25%
777,88489e34edfffff,0.5807,208.1,5.6,residential,442477,9,30.3070,-97.7790,Tier 2 — Top 25%
778,8848985b25fffff,0.5806,207.6,33.9,NaN,0,0,30.5589,-97.6415,Tier 2 — Top 25%
779,88489e2f5bfffff,0.5805,207.6,25.7,NaN,0,0,30.4380,-97.5622,Tier 2 — Top 25%
780,884898c889fffff,0.5802,208.2,27.2,NaN,0,0,30.4242,-97.9607,Tier 2 — Top 25%
781,88489e3587fffff,0.5801,208.0,8.2,residential,234352,9,30.3397,-97.7299,Tier 2 — Top 25%
782,884898c955fffff,0.5801,208.1,16.3,residential,49190,9,30.3737,-97.8601,Tier 2 — Top 25%
