rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier,developable,developable_frac,exclusion_reasons,feature_completeness,boundary_dist_km,boundary_rings,edge_flagged,score_raw
192,88489ead95fffff,0.7935779816513762,208.2,9.7,residential,160422,9,30.1837,-97.7711,Tier 2 — Top 25%,True,1.0,,1.0,9.317484000000036,10,False,0.6583
193,88489e30bdfffff,0.7920489296636085,207.9,9.6,,0,0,30.2421,-97.6471,Tier 2 — Top 25%,True,1.0,,1.0,15.818571999999913,17,False,0.6576
194,88489e2753fffff,0.790519877675841,207.9,13.2,industrial,464348,12,30.3859,-97.7329,Tier 2 — Top 25%,True,1.0,,1.0,23.72873661659146,25,False,0.6574
196,88489e22e5fffff,0.7889908256880734,207.8,12.2,vacant,85063,0,30.3199,-97.6315,Tier 2 — Top 25%,True,1.0,,1.0,22.245686915788323,24,False,0.6572
197,8848985161fffff,0.7874617737003058,207.9,29.7,,0,0,30.5304,-97.7985,Tier 2 — Top 25%,True,0.5441,water,1.0,13.313871999999819,14,False,0.657
199,88489e2229fffff,0.7859327217125383,207.8,13.5,,0,0,30.2822,-97.6036,Tier 2 — Top 25%,True,1.0,,1.0,19.57219758150549,21,False,0.656
200,88489eadc7fffff,0.7844036697247706,208.2,12.8,residential,73907,9,30.1532,-97.7589,Tier 2 — Top 25%,True,1.0,,1.0,5.922223999999644,6,False,0.6553
201,88489e35b3fffff,0.7828746177370031,207.9,10.6,residential,281749,9,30.3626,-97.7365,Tier 2 — Top 25%,True,0.8769,water,1.0,23.3886064523651,25,False,0.6545
202,88489e3199fffff,0.7805810397553516,207.9,13.2,industrial,66779,12,30.2356,-97.6109,Tier 2 — Top 25%,True,1.0,,1.0,15.094992000000017,16,False,0.6535
203,88489eadb3fffff,0.7805810397553516,208.1,7.7,residential,259487,9,30.1994,-97.7619,Tier 2 — Top 25%,True,1.0,,1.0,11.065207999999918,12,False,0.6535
204,88489e3809fffff,0.7782874617737003,207.6,28.8,,0,0,30.2256,-97.4469,Tier 2 — Top 25%,True,1.0,,1.0,4.511125370608226,4,False,0.6532
205,88489eadb7fffff,0.7767584097859327,208.1,7.5,residential,273312,9,30.1998,-97.7517,Tier 2 — Top 25%,True,1.0,,1.0,11.109735999999813,12,False,0.6529
206,88489e22edfffff,0.7752293577981652,207.8,11.4,residential,103769,9,30.312,-97.6361,Tier 2 — Top 25%,True,1.0,,1.0,22.689547061511423,24,False,0.6525
210,884898d935fffff,0.7737003058103975,208.3,11.3,residential,108095,9,30.2424,-97.8567,Tier 2 — Top 25%,True,1.0,,1.0,11.85771246197589,12,False,0.6516
212,88489e32ddfffff,0.77217125382263,208.1,12.9,residential,71029,9,30.155,-97.7079,Tier 2 — Top 25%,True,1.0,,1.0,6.122599999999968,6,False,0.651
214,8848985b5dfffff,0.7706422018348624,207.7,30.0,,0,0,30.5339,-97.6963,Tier 2 — Top 25%,True,1.0,,1.0,12.924251999999935,14,False,0.6505
