rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
194,8829b6ce83fffff,0.6434,210.1,42.9,unknown,33527,12,33.8259,-112.1721,Tier 1 — Top 10%
195,8829b6ceb1fffff,0.6434,210.0,44.6,unknown,33471,12,33.8425,-112.1644,Tier 1 — Top 10%
196,8829b6cf25fffff,0.6434,210.2,39.0,unknown,33660,12,33.7947,-112.0072,Tier 1 — Top 10%
197,8848ebaca3fffff,0.6429,210.7,29.4,unknown,33984,12,33.5610,-111.7868,Tier 1 — Top 10%
198,8848e96105fffff,0.6429,211.0,23.0,unknown,34202,12,33.2693,-112.1988,Tier 1 — Top 10%
199,8829b6cc43fffff,0.6429,210.1,40.6,unknown,33606,12,33.8130,-112.0984,Tier 1 — Top 10%
200,8848e96027fffff,0.6429,211.0,25.4,unknown,34121,12,33.2769,-112.2547,Tier 1 — Top 10%
201,8848e96161fffff,0.6429,211.0,23.8,unknown,34176,12,33.2557,-112.1852,Tier 1 — Top 10%
202,8829b6cf55fffff,0.6429,210.2,36.0,unknown,33760,12,33.7721,-112.0575,Tier 1 — Top 10%
203,8848eb3409fffff,0.6429,210.6,37.2,unknown,33722,12,33.6510,-111.7550,Tier 1 — Top 10%
204,8848ebb1a9fffff,0.6425,211.4,40.9,unknown,37992,12,33.2272,-111.7224,Tier 1 — Top 10%
205,8829b6cf09fffff,0.6425,210.2,36.3,unknown,33753,12,33.7736,-112.0469,Tier 1 — Top 10%
206,8848eb355dfffff,0.6425,210.6,41.8,unknown,33567,12,33.6515,-111.6950,Tier 1 — Top 10%
207,8848e962c7fffff,0.6420,211.0,35.5,unknown,33777,12,33.2314,-112.3546,Tier 1 — Top 10%
208,8829b6c485fffff,0.6420,210.0,44.4,unknown,33477,12,33.7994,-112.3036,Tier 1 — Top 10%
209,8848ebb199fffff,0.6420,211.3,37.3,unknown,65729,12,33.2281,-111.7716,Tier 1 — Top 10%
210,8848e961b3fffff,0.6420,210.8,20.9,unknown,34275,12,33.3459,-112.2629,Tier 1 — Top 10%
211,8848ebacebfffff,0.6420,210.8,27.7,unknown,43951,12,33.5292,-111.7915,Tier 1 — Top 10%
212,8848ebb62dfffff,0.6420,211.3,30.8,unknown,33939,12,33.1976,-111.9344,Tier 1 — Top 10%
213,8848e962a9fffff,0.6420,211.0,32.9,unknown,33866,12,33.2496,-112.3365,Tier 1 — Top 10%
214,8848eba309fffff,0.6420,211.3,38.1,unknown,56190,12,33.2742,-111.7205,Tier 1 — Top 10%
215,8848eb26dbfffff,0.6420,210.3,44.1,unknown,33489,12,33.8005,-111.8552,Tier 1 — Top 10%
216,8848e96b53fffff,0.6417,211.1,18.3,unknown,34364,12,33.2844,-112.0928,Tier 1 — Top 10%
217,8848ebb0b3fffff,0.6417,211.3,32.5,unknown,122929,12,33.2443,-111.8237,Tier 1 — Top 10%
218,8829b6c5e9fffff,0.6417,210.1,40.1,unknown,33623,12,33.7881,-112.2193,Tier 1 — Top 10%
219,8848eba409fffff,0.6415,210.9,13.5,unknown,272895,12,33.4077,-111.9371,Tier 1 — Top 10%
220,8829b6cae3fffff,0.6414,210.3,32.4,unknown,33882,12,33.7289,-111.9779,Tier 1 — Top 10%
221,8829b6d8b7fffff,0.6414,210.5,25.4,unknown,34120,12,33.6600,-111.9699,Tier 1 — Top 10%
222,8848ebb1a7fffff,0.6414,211.3,40.4,unknown,41035,12,33.2438,-111.7147,Tier 1 — Top 10%
223,8848ebb1e9fffff,0.6414,211.4,42.5,unknown,33544,12,33.2036,-111.7233,Tier 1 — Top 10%
224,8848ebb181fffff,0.6414,211.3,39.5,unknown,46825,12,33.2242,-111.7436,Tier 1 — Top 10%
225,8848ebb699fffff,0.6409,211.1,22.8,unknown,34209,12,33.2449,-112.0416,Tier 1 — Top 10%
226,8848ebba99fffff,0.6409,211.3,42.1,unknown,33557,12,33.2384,-111.6973,Tier 1 — Top 10%
227,8848eb35c1fffff,0.6409,210.5,42.3,unknown,33548,12,33.6941,-111.7251,Tier 1 — Top 10%
228,8848ebb1c7fffff,0.6409,211.4,40.8,unknown,36934,12,33.2090,-111.7407,Tier 1 — Top 10%
229,8848ebb197fffff,0.6409,211.3,36.6,unknown,76547,12,33.2448,-111.7639,Tier 1 — Top 10%
230,8829b6ce6dfffff,0.6409,210.2,33.8,unknown,33834,12,33.7525,-112.0865,Tier 1 — Top 10%
231,8848eba1e9fffff,0.6404,211.1,34.3,unknown,94680,12,33.3682,-111.7168,Tier 1 — Top 10%
232,8848ebba9bfffff,0.6404,211.3,41.1,unknown,36028,12,33.2453,-111.7041,Tier 1 — Top 10%
233,8848e96e63fffff,0.6404,210.8,22.2,unknown,36381,12,33.3581,-112.2871,Tier 1 — Top 10%
234,8848ebb45bfffff,0.6404,211.2,25.1,unknown,35548,12,33.2387,-111.9750,Tier 1 — Top 10%
235,8848e962adfffff,0.6404,211.0,32.1,unknown,33894,12,33.2512,-112.3259,Tier 1 — Top 10%
